trading_name,eStore_code
Returns - TTU- Total Uniform Soluti,TTU
TUS - The Upside Sports - ESK,TUS MJD
TYA - Ty Australia - MW1,TYA
TYF - Toy Fiesta - MJD,TYF
USE - Universal Sony - LAV,USE
Returns - Universal Sony,USE
UTL - Until APGL - ESK,UTL
UTL - Until - ESK,UTL
Returns - Until,UTL
VBG - Vision Brand - MW1,VBG
Returns - VBG - Vision Brand - MW1,VBG
WBD - Western Bulldogs - MW1,WBD
Returns - WBD - Western Bulldogs -,WBD
Returns - Western United,WUT MW1
WUT - Western United - MW1,WUT MW1
ZAP - Stores AU - ESK,ZAP ESK
Returns - Stores AU - ESK,ZAP ESK
ZAP - Stores AU - MW1,ZAP MW1
